condition_id,method,bit_width,seed,task,category,example_index,example_id,dataset_length,length_bucket,score
fp16_K16_V16,fp16,,,qasper,Single QA,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,0-4k,96.00000000000001
fp16_K16_V16,fp16,,,qasper,Single QA,51,d95b33cbe3496fb98638b3c3b1a956847b6472aa8d18a5cc,2393,0-4k,100.0
fp16_K16_V16,fp16,,,qasper,Single QA,54,b959a2ca0687fbe1c4f11a6fda00eb9341525f1502c9afc6,3566,0-4k,81.48148148148148
fp16_K16_V16,fp16,,,qasper,Single QA,75,b1fdb80cd96f455762f4f3be78a4932e7ae5edb2802d9e5c,3244,0-4k,100.0
fp16_K16_V16,fp16,,,qasper,Single QA,99,d9c7574b1ed1ebd6eb755e6bbeee3513c9c912771059348c,2533,0-4k,0.0
fp16_K16_V16,fp16,,,qasper,Single QA,114,e28df0e3283943b1e011e1dba7a231e35269588b73697ca4,7837,4-8k,100.0
fp16_K16_V16,fp16,,,qasper,Single QA,140,755daa298cdf770c8ed19ddf39270f07e077d88a82aaa0dc,4263,4-8k,10.0
fp16_K16_V16,fp16,,,qasper,Single QA,144,0225501ce54ac2c95a557a5691a4322482af24748391e6e9,4104,4-8k,65.0
fp16_K16_V16,fp16,,,qasper,Single QA,145,34c5eb16ccc55869a263dfda28d028267e29ee243880c9d5,5136,4-8k,43.74999999999999
fp16_K16_V16,fp16,,,qasper,Single QA,159,d5e92fcef6747ba1518ae7d8a46ad274b585425b2c889d5b,4738,4-8k,58.82352941176471
fp16_K16_V16,fp16,,,qasper,Single QA,209,074b526f101518a8f5c810fed1e28f757dacb7805b161e22,14472,8k+,100.0
fp16_K16_V16,fp16,,,qasper,Single QA,212,21fc5caf7a80aa10b3d9e86ca96d466edb09ae8961c22c85,12952,8k+,100.0
fp16_K16_V16,fp16,,,qasper,Single QA,217,3a92f5b9ebedea5d5efd1f4af956b59b4e0ae6ee33db136f,8555,8k+,8.333333333333332
fp16_K16_V16,fp16,,,qasper,Single QA,221,1bb7cd04a893fe2a5497bdf7d0dcb064da2ef56144b44bdd,14722,8k+,23.076923076923077
fp16_K16_V16,fp16,,,qasper,Single QA,223,6fd8cd7777d0b6f36ccdfc044d9b5056e519fd11feb2a750,14660,8k+,92.85714285714286
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,11,94ccf4d54b36e7e9d4aa594a7bc426528630a5b8aff296a4,3422,0-4k,100.0
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,38,235a5c99cd7fae9e2b410ad99c1b1fafea43799d3f1138a8,1810,0-4k,46.15384615384615
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,44,ec016e90ac78727f3c4aa176db472724bda53c07cb8cb696,682,0-4k,30.769230769230766
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,45,4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,1860,0-4k,22.22222222222222
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,53,6caa98612cf0e2ddf58e1ba70daaf79a3ac616280fb48188,2947,0-4k,0.0
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,89,566881d2138d7e29cd6dd2b661b6f7ffe4c515c92fdaf837,5523,4-8k,10.0
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,90,d427e3ab7584a0e253bfb6a9d76626b726c79b57d5e39f2a,6102,4-8k,26.923076923076927
