condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
learned_K2_V16_s29,learned,2,29,qasper,Single QA,1,27.27272727272727,27.27,0.0
learned_K2_V16_s29,learned,2,29,multifieldqa_en,Single QA,1,80.0,80.0,0.0
learned_K2_V16_s29,learned,2,29,hotpotqa,Multi QA,1,0.0,0.0,0.0
learned_K2_V16_s29,learned,2,29,2wikimqa,Multi QA,1,0.0,0.0,0.0
learned_K2_V16_s29,learned,2,29,gov_report,Summarization,1,27.57281509171458,27.57,0.0
learned_K2_V16_s29,learned,2,29,multi_news,Summarization,1,21.511627421190518,21.51,0.0
learned_K2_V16_s29,learned,2,29,trec,Few-shot,1,0.0,0.0,0.0
learned_K2_V16_s29,learned,2,29,triviaqa,Few-shot,1,100.0,100.0,0.0
learned_K2_V16_s29,learned,2,29,samsum,Few-shot,1,52.17391254725898,52.17,0.0
learned_K2_V16_s29,learned,2,29,passage_count,Synthetic,1,0.0,0.0,0.0
learned_K2_V16_s29,learned,2,29,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
learned_K2_V16_s29,learned,2,29,lcc,Code,1,61.0,61.0,0.0
learned_K2_V16_s29,learned,2,29,repobench-p,Code,1,43.0,43.0,0.0
