condition_id,method,bit_width,seed,task_id,length,position_fraction,target,prediction,correct,target_logit,target_margin
fp16,fp16,,,length512_case0,512,0.1,avocado,avocado,1,19.25,11.9375
fp16,fp16,,,length512_case1,512,0.5,telescope,telescope,1,17.375,5.8125
fp16,fp16,,,length1024_case0,1024,0.1,violin,violin,1,18.125,4.5
fp16,fp16,,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.125,6.625
fp16,fp16,,,length2048_case0,2048,0.1,avocado,avocado,1,19.75,13.21875
fp16,fp16,,,length2048_case1,2048,0.5,telescope,telescope,1,18.5,6.375
identity_b2_snone,identity,2,,length512_case0,512,0.1,avocado,avocado,1,12.4375,0.9375
identity_b2_snone,identity,2,,length512_case1,512,0.5,telescope,telescope,1,14.3125,5.5
identity_b2_snone,identity,2,,length1024_case0,1024,0.1,violin,violin,1,12.8125,2.1875
identity_b2_snone,identity,2,,length1024_case1,1024,0.5,cinnamon,telescope,0,11.25,-3.0625
identity_b2_snone,identity,2,,length2048_case0,2048,0.1,avocado,telescope,0,10.9375,-1.5625
identity_b2_snone,identity,2,,length2048_case1,2048,0.5,telescope,telescope,1,14.9375,3.5
random_b2_s17,random,2,17,length512_case0,512,0.1,avocado,avocado,1,15.875,6.9375
random_b2_s17,random,2,17,length512_case1,512,0.5,telescope,telescope,1,17.125,6.4375
random_b2_s17,random,2,17,length1024_case0,1024,0.1,violin,violin,1,17.125,6.0
random_b2_s17,random,2,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.5,5.4375
random_b2_s17,random,2,17,length2048_case0,2048,0.1,avocado,avocado,1,21.25,8.0
random_b2_s17,random,2,17,length2048_case1,2048,0.5,telescope,telescope,1,14.5,2.8125
learned_b2_s17,learned,2,17,length512_case0,512,0.1,avocado,avocado,1,17.0,9.6875
learned_b2_s17,learned,2,17,length512_case1,512,0.5,telescope,telescope,1,13.875,2.75
learned_b2_s17,learned,2,17,length1024_case0,1024,0.1,violin,violin,1,13.8125,0.9375
learned_b2_s17,learned,2,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,15.0625,2.3125
learned_b2_s17,learned,2,17,length2048_case0,2048,0.1,avocado,avocado,1,18.25,10.5
learned_b2_s17,learned,2,17,length2048_case1,2048,0.5,telescope,telescope,1,15.375,4.1875
random_b2_s29,random,2,29,length512_case0,512,0.1,avocado,avocado,1,16.25,6.375
random_b2_s29,random,2,29,length512_case1,512,0.5,telescope,telescope,1,16.5,6.25
random_b2_s29,random,2,29,length1024_case0,1024,0.1,violin,violin,1,16.75,1.1875
random_b2_s29,random,2,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.375,3.625
random_b2_s29,random,2,29,length2048_case0,2048,0.1,avocado,avocado,1,17.375,7.9375
random_b2_s29,random,2,29,length2048_case1,2048,0.5,telescope,telescope,1,16.875,3.5
learned_b2_s29,learned,2,29,length512_case0,512,0.1,avocado,avocado,1,13.125,4.0625
learned_b2_s29,learned,2,29,length512_case1,512,0.5,telescope,telescope,1,16.125,5.4375
learned_b2_s29,learned,2,29,length1024_case0,1024,0.1,violin,violin,1,14.375,4.5625
learned_b2_s29,learned,2,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.375,5.125
learned_b2_s29,learned,2,29,length2048_case0,2048,0.1,avocado,avocado,1,16.25,8.8125
learned_b2_s29,learned,2,29,length2048_case1,2048,0.5,telescope,telescope,1,14.875,5.125
random_b2_s43,random,2,43,length512_case0,512,0.1,avocado,avocado,1,19.625,10.0
random_b2_s43,random,2,43,length512_case1,512,0.5,telescope,telescope,1,13.25,0.9375
random_b2_s43,random,2,43,length1024_case0,1024,0.1,violin,violin,1,16.75,5.0625
random_b2_s43,random,2,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.75,4.375
random_b2_s43,random,2,43,length2048_case0,2048,0.1,avocado,avocado,1,17.0,7.9375
random_b2_s43,random,2,43,length2048_case1,2048,0.5,telescope,avocado,0,9.9375,-1.875
learned_b2_s43,learned,2,43,length512_case0,512,0.1,avocado,avocado,1,16.125,5.625
learned_b2_s43,learned,2,43,length512_case1,512,0.5,telescope,telescope,1,14.4375,0.6875
learned_b2_s43,learned,2,43,length1024_case0,1024,0.1,violin,cinnamon,0,13.8125,-1.875
learned_b2_s43,learned,2,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,14.625,2.0
learned_b2_s43,learned,2,43,length2048_case0,2048,0.1,avocado,avocado,1,18.25,6.625
learned_b2_s43,learned,2,43,length2048_case1,2048,0.5,telescope,avocado,0,10.0,-3.5625
identity_b3_snone,identity,3,,length512_case0,512,0.1,avocado,avocado,1,15.375,2.1875
identity_b3_snone,identity,3,,length512_case1,512,0.5,telescope,telescope,1,15.6875,1.6875
identity_b3_snone,identity,3,,length1024_case0,1024,0.1,violin,avocado,0,10.125,-6.0
identity_b3_snone,identity,3,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.75,3.5
identity_b3_snone,identity,3,,length2048_case0,2048,0.1,avocado,avocado,1,14.75,0.6875
identity_b3_snone,identity,3,,length2048_case1,2048,0.5,telescope,violin,0,14.75,-0.0625
random_b3_s17,random,3,17,length512_case0,512,0.1,avocado,avocado,1,20.375,11.9375
random_b3_s17,random,3,17,length512_case1,512,0.5,telescope,telescope,1,18.75,6.5
random_b3_s17,random,3,17,length1024_case0,1024,0.1,violin,violin,1,18.5,4.625
random_b3_s17,random,3,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.75,6.8125
random_b3_s17,random,3,17,length2048_case0,2048,0.1,avocado,avocado,1,19.25,8.375
random_b3_s17,random,3,17,length2048_case1,2048,0.5,telescope,telescope,1,18.875,6.9375
learned_b3_s17,learned,3,17,length512_case0,512,0.1,avocado,avocado,1,18.875,9.875
learned_b3_s17,learned,3,17,length512_case1,512,0.5,telescope,telescope,1,17.25,7.3125
learned_b3_s17,learned,3,17,length1024_case0,1024,0.1,violin,violin,1,17.125,2.3125
learned_b3_s17,learned,3,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.875,6.75
learned_b3_s17,learned,3,17,length2048_case0,2048,0.1,avocado,avocado,1,19.625,12.4375
learned_b3_s17,learned,3,17,length2048_case1,2048,0.5,telescope,telescope,1,17.625,6.1875
random_b3_s29,random,3,29,length512_case0,512,0.1,avocado,avocado,1,19.5,11.53125
random_b3_s29,random,3,29,length512_case1,512,0.5,telescope,telescope,1,18.125,4.875
random_b3_s29,random,3,29,length1024_case0,1024,0.1,violin,violin,1,19.5,6.0625
